episode;reward0;avg_reward0;t_global;cr
1;11.0;11.0;0.0;0
2;15.0;13.0;0.0;0
3;9.0;11.7;0.0;0
4;13.0;12.0;0.0;0
5;13.0;12.2;0.0;0
6;21.0;13.7;0.0;0
7;22.0;14.9;0.0;0
8;17.0;15.1;0.0;0
9;14.0;15.0;0.0;0
10;18.0;15.3;0.0;0
11;14.0;15.2;0.0;0
12;16.0;15.2;0.0;0
13;27.0;16.2;0.0;0
14;9.0;15.6;0.0;0
15;20.0;15.9;0.0;0
16;9.0;15.5;0.0;0
17;11.0;15.2;0.0;0
18;13.0;15.1;0.0;0
19;24.0;15.6;0.0;0
20;48.0;17.2;0.0;0
21;21.0;17.4;0.0;0
22;25.0;17.7;0.0;0
23;24.0;18.0;0.0;0
24;17.0;18.0;0.0;0
25;16.0;17.9;0.0;0
26;16.0;17.8;0.0;0
27;18.0;17.8;0.0;0
28;11.0;17.6;0.0;0
29;27.0;17.9;0.0;0
30;13.0;17.7;0.0;0
31;19.0;17.8;0.0;0
32;21.0;17.9;0.0;0
33;11.0;17.7;0.0;0
34;62.0;19.0;0.0;0
35;18.0;18.9;0.0;0
36;17.0;18.9;0.0;0
37;29.0;19.2;0.0;0
38;13.0;19.0;0.0;0
39;31.0;19.3;0.0;0
40;24.0;19.4;0.0;0
41;28.0;19.6;0.0;0
42;13.0;19.5;0.0;0
43;22.0;19.5;0.0;0
44;27.0;19.7;0.0;0
45;13.0;19.6;0.0;0
46;30.0;19.8;0.0;0
47;24.0;19.9;0.0;0
48;15.0;19.8;0.0;0
49;16.0;19.7;0.0;0
50;27.0;19.8;0.0;0
51;61.0;20.6;102.0;50.0
52;19.0;20.6;140.0;69.0
53;21.0;20.6;182.0;90.0
54;13.0;20.5;208.0;103.0
55;70.0;21.4;348.0;173.0
56;21.0;21.4;390.0;194.0
57;23.0;21.4;436.0;217.0
58;47.0;21.8;530.0;264.0
59;64.0;22.6;658.0;328.0
60;34.0;22.8;726.0;362.0
61;29.0;22.9;784.0;391.0
62;17.0;22.8;818.0;408.0
63;17.0;22.7;852.0;425.0
64;24.0;22.7;900.0;449.0
65;17.0;22.6;934.0;466.0
66;10.0;22.4;954.0;476.0
67;12.0;22.3;978.0;488.0
68;19.0;22.2;1016.0;507.0
69;14.0;22.1;1044.0;521.0
70;44.0;22.4;1132.0;565.0
71;8.0;22.2;1148.0;573.0
72;12.0;22.1;1172.0;585.0
73;14.0;21.9;1200.0;599.0
74;16.0;21.9;1232.0;615.0
75;22.0;21.9;1276.0;637.0
76;14.0;21.8;1304.0;651.0
77;14.0;21.7;1332.0;665.0
78;18.0;21.6;1368.0;683.0
79;11.0;21.5;1390.0;694.0
80;25.0;21.5;1440.0;719.0
81;67.0;22.1;1574.0;786.0
82;12.0;22.0;1598.0;798.0
83;43.0;22.2;1684.0;841.0
84;18.0;22.2;1720.0;859.0
85;16.0;22.1;1752.0;875.0
86;19.0;22.1;1790.0;894.0
87;19.0;22.0;1828.0;913.0
88;47.0;22.3;1922.0;960.0
89;17.0;22.2;1956.0;977.0
90;19.0;22.2;1994.0;996.0
91;57.0;22.6;2108.0;1053.0
92;10.0;22.5;2128.0;1063.0
93;35.0;22.6;2198.0;1098.0
94;27.0;22.6;2252.0;1125.0
95;12.0;22.5;2276.0;1137.0
96;12.0;22.4;2300.0;1149.0
97;12.0;22.3;2324.0;1161.0
98;14.0;22.2;2352.0;1175.0
99;16.0;22.2;2384.0;1191.0
100;17.0;22.1;2418.0;1208.0
101;12.0;22.1;2442.0;1220.0
102;25.0;22.2;2492.0;1245.0
103;15.0;22.3;2522.0;1260.0
104;21.0;22.4;2564.0;1281.0
105;16.0;22.4;2596.0;1297.0
106;12.0;22.3;2620.0;1309.0
107;14.0;22.2;2648.0;1323.0
108;16.0;22.2;2680.0;1339.0
109;31.0;22.4;2742.0;1370.0
110;33.0;22.5;2808.0;1403.0
111;13.0;22.5;2834.0;1416.0
112;11.0;22.5;2856.0;1427.0
113;46.0;22.7;2948.0;1473.0
114;20.0;22.8;2988.0;1493.0
115;20.0;22.8;3028.0;1513.0
116;34.0;23.0;3096.0;1547.0
117;22.0;23.1;3140.0;1569.0
118;77.0;23.8;3294.0;1646.0
119;26.0;23.8;3346.0;1672.0
120;15.0;23.5;3376.0;1687.0
121;42.0;23.7;3460.0;1729.0
122;23.0;23.6;3506.0;1752.0
123;21.0;23.6;3548.0;1773.0
124;31.0;23.8;3610.0;1804.0
125;30.0;23.9;3670.0;1834.0
126;14.0;23.9;3698.0;1848.0
127;50.0;24.2;3798.0;1898.0
128;13.0;24.2;3824.0;1911.0
129;18.0;24.1;3860.0;1929.0
130;11.0;24.1;3882.0;1940.0
131;20.0;24.1;3922.0;1960.0
132;52.0;24.4;4026.0;2012.0
133;30.0;24.6;4086.0;2042.0
134;47.0;24.5;4180.0;2089.0
135;52.0;24.8;4284.0;2141.0
136;16.0;24.8;4316.0;2157.0
137;15.0;24.7;4346.0;2172.0
138;20.0;24.7;4386.0;2192.0
139;38.0;24.8;4462.0;2230.0
140;15.0;24.7;4492.0;2245.0
141;46.0;24.9;4584.0;2291.0
142;53.0;25.3;4690.0;2344.0
143;69.0;25.8;4828.0;2413.0
144;26.0;25.8;4880.0;2439.0
145;34.0;26.0;4948.0;2473.0
146;69.0;26.4;5086.0;2542.0
147;37.0;26.5;5160.0;2579.0
148;72.0;27.0;5304.0;2651.0
149;25.0;27.1;5354.0;2676.0
150;93.0;27.8;5540.0;2769.0
151;24.0;27.4;5588.0;2793.0
152;68.0;27.9;5724.0;2861.0
153;29.0;28.0;5782.0;2890.0
154;53.0;28.4;5888.0;2943.0
155;37.0;28.1;5962.0;2980.0
156;35.0;28.2;6032.0;3015.0
157;58.0;28.6;6148.0;3073.0
158;75.0;28.8;6298.0;3148.0
159;28.0;28.5;6354.0;3176.0
160;12.0;28.3;6378.0;3188.0
161;95.0;28.9;6568.0;3283.0
