episode;reward1;avg_reward1;t_global;cr
1;11.0;11.0;0.0;0
2;9.0;10.0;0.0;0
3;35.0;18.3;0.0;0
4;25.0;20.0;0.0;0
5;18.0;19.6;0.0;0
6;26.0;20.7;0.0;0
7;15.0;19.9;0.0;0
8;25.0;20.5;0.0;0
9;27.0;21.2;0.0;0
10;26.0;21.7;0.0;0
11;29.0;22.4;0.0;0
12;22.0;22.3;0.0;0
13;18.0;22.0;0.0;0
14;11.0;21.2;0.0;0
15;28.0;21.7;0.0;0
16;13.0;21.1;0.0;0
17;22.0;21.2;0.0;0
18;30.0;21.7;0.0;0
19;22.0;21.7;0.0;0
20;23.0;21.8;0.0;0
21;32.0;22.2;0.0;0
22;14.0;21.9;0.0;0
23;14.0;21.5;0.0;0
24;42.0;22.4;0.0;0
25;11.0;21.9;0.0;0
26;13.0;21.6;0.0;0
27;17.0;21.4;0.0;0
28;12.0;21.1;0.0;0
29;11.0;20.7;0.0;0
30;16.0;20.6;0.0;0
31;11.0;20.3;0.0;0
32;36.0;20.8;0.0;0
33;11.0;20.5;0.0;0
34;22.0;20.5;0.0;0
35;35.0;20.9;0.0;0
36;24.0;21.0;0.0;0
37;16.0;20.9;0.0;0
38;51.0;21.7;0.0;0
39;17.0;21.5;0.0;0
40;14.0;21.4;0.0;0
41;13.0;21.1;0.0;0
42;10.0;20.9;0.0;0
43;28.0;21.0;0.0;0
44;41.0;21.5;0.0;0
45;52.0;22.2;0.0;0
46;18.0;22.1;28.0;13.0
47;16.0;22.0;60.0;29.0
48;33.0;22.2;126.0;62.0
49;15.0;22.0;156.0;77.0
50;44.0;22.5;244.0;121.0
51;14.0;22.3;272.0;135.0
52;36.0;22.6;344.0;171.0
53;18.0;22.5;380.0;189.0
54;28.0;22.6;436.0;217.0
55;22.0;22.6;480.0;239.0
56;30.0;22.7;540.0;269.0
57;15.0;22.6;570.0;284.0
58;21.0;22.6;612.0;305.0
59;14.0;22.4;640.0;319.0
60;8.0;22.2;656.0;327.0
61;20.0;22.1;696.0;347.0
62;15.0;22.0;726.0;362.0
63;9.0;21.8;744.0;371.0
64;34.0;22.0;812.0;405.0
65;13.0;21.9;838.0;418.0
66;13.0;21.7;864.0;431.0
67;26.0;21.8;916.0;457.0
68;43.0;22.1;1001.0;500.0
69;11.0;21.9;1023.0;511.0
70;18.0;21.9;1059.0;529.0
71;18.0;21.8;1095.0;547.0
72;11.0;21.7;1117.0;558.0
73;12.0;21.5;1141.0;570.0
74;20.0;21.5;1181.0;590.0
75;9.0;21.4;1199.0;599.0
76;24.0;21.4;1247.0;623.0
77;12.0;21.3;1271.0;635.0
78;34.0;21.4;1339.0;669.0
79;17.0;21.4;1373.0;686.0
80;14.0;21.3;1401.0;700.0
81;28.0;21.4;1457.0;728.0
82;19.0;21.3;1495.0;747.0
83;16.0;21.3;1527.0;763.0
84;14.0;21.2;1555.0;777.0
85;28.0;21.3;1611.0;805.0
86;10.0;21.1;1631.0;815.0
87;32.0;21.3;1695.0;847.0
88;16.0;21.2;1727.0;863.0
89;11.0;21.1;1749.0;874.0
90;12.0;21.0;1773.0;886.0
91;16.0;20.9;1805.0;902.0
92;15.0;20.9;1835.0;917.0
93;27.0;20.9;1889.0;944.0
94;18.0;20.9;1925.0;962.0
95;30.0;21.0;1985.0;992.0
96;16.0;20.9;2017.0;1008.0
97;12.0;20.9;2041.0;1020.0
98;22.0;20.9;2085.0;1042.0
99;14.0;20.8;2113.0;1056.0
100;13.0;20.7;2139.0;1069.0
101;11.0;20.7;2161.0;1080.0
102;14.0;20.8;2189.0;1094.0
103;14.0;20.6;2217.0;1108.0
104;37.0;20.7;2291.0;1145.0
105;39.0;20.9;2369.0;1184.0
106;26.0;20.9;2421.0;1210.0
107;11.0;20.8;2443.0;1221.0
108;19.0;20.8;2481.0;1240.0
109;12.0;20.6;2505.0;1252.0
110;11.0;20.5;2527.0;1263.0
111;11.0;20.3;2549.0;1274.0
112;15.0;20.2;2579.0;1289.0
113;40.0;20.5;2658.0;1329.0
114;22.0;20.6;2702.0;1351.0
115;21.0;20.5;2744.0;1372.0
116;36.0;20.7;2815.0;1408.0
117;12.0;20.6;2839.0;1420.0
118;11.0;20.4;2861.0;1431.0
119;11.0;20.3;2883.0;1442.0
120;12.0;20.2;2907.0;1454.0
121;47.0;20.4;3001.0;1501.0
122;11.0;20.3;3023.0;1512.0
123;10.0;20.3;3043.0;1522.0
124;20.0;20.1;3083.0;1542.0
125;16.0;20.1;3115.0;1558.0
126;40.0;20.4;3195.0;1598.0
127;23.0;20.5;3241.0;1621.0
128;21.0;20.6;3283.0;1642.0
129;21.0;20.6;3325.0;1663.0
130;23.0;20.7;3371.0;1686.0
131;23.0;20.8;3417.0;1709.0
132;29.0;20.8;3475.0;1738.0
133;18.0;20.8;3511.0;1756.0
134;10.0;20.7;3531.0;1766.0
135;35.0;20.7;3601.0;1801.0
136;24.0;20.7;3649.0;1825.0
137;25.0;20.8;3699.0;1850.0
138;16.0;20.5;3731.0;1866.0
139;27.0;20.6;3785.0;1893.0
140;15.0;20.6;3815.0;1908.0
141;28.0;20.7;3871.0;1936.0
142;15.0;20.8;3901.0;1951.0
143;17.0;20.7;3935.0;1968.0
144;19.0;20.4;3973.0;1987.0
145;40.0;20.3;4053.0;2027.0
146;19.0;20.3;4091.0;2046.0
147;42.0;20.6;4175.0;2088.0
148;17.0;20.4;4209.0;2105.0
149;31.0;20.6;4271.0;2136.0
150;18.0;20.3;4307.0;2154.0
151;82.0;21.0;4471.0;2236.0
152;57.0;21.2;4585.0;2293.0
153;52.0;21.6;4689.0;2345.0
154;43.0;21.7;4775.0;2388.0
155;29.0;21.8;4833.0;2417.0
156;16.0;21.6;4865.0;2433.0
157;44.0;21.9;4953.0;2477.0
158;80.0;22.5;5113.0;2557.0
159;24.0;22.6;5161.0;2581.0
160;22.0;22.8;5205.0;2603.0
161;13.0;22.7;5231.0;2616.0
162;31.0;22.8;5293.0;2647.0
163;42.0;23.2;5377.0;2689.0
164;40.0;23.2;5457.0;2729.0
165;24.0;23.4;5505.0;2753.0
166;25.0;23.5;5555.0;2778.0
167;19.0;23.4;5593.0;2797.0
168;21.0;23.2;5635.0;2818.0
169;50.0;23.6;5735.0;2868.0
170;51.0;23.9;5837.0;2919.0
171;19.0;23.9;5875.0;2938.0
172;35.0;24.2;5945.0;2973.0
173;46.0;24.5;6037.0;3019.0
174;82.0;25.1;6201.0;3101.0
175;110.0;26.1;6420.0;3211.0
176;69.0;26.6;6558.0;3280.0
177;64.0;27.1;6686.0;3344.0
178;30.0;27.0;6746.0;3374.0
179;96.0;27.8;6938.0;3470.0
180;37.0;28.1;7012.0;3507.0
181;35.0;28.1;7082.0;3542.0
