comm_rounds;t0;staleness0;epoch0
1;1100;900.0;99.96
2;1200;900.0;99.92
3;1300;900.0;99.88
4;1400;1000.0;99.84
5;1500;800.0;99.8
6;1600;900.0;99.76
7;1700;1000.0;99.72
8;1800;1000.0;99.68
9;1900;200.0;99.64
10;2000;900.0;99.6
11;2100;1000.0;99.56
12;2200;1000.0;99.52
13;2300;900.0;99.48
14;2399;990.0;99.44
15;2498;990.0;99.4
16;2597;891.0;99.36
17;2696;891.0;99.32
18;2795;990.0;99.28
19;2894;990.0;99.24
20;2993;891.0;99.2
21;3092;198.0;99.16
22;3191;891.0;99.12
23;3290;990.0;99.08
24;3389;990.0;99.04
25;3488;891.0;99.0
26;3587;990.0;98.96
27;3686;891.0;98.92
28;3785;891.0;98.88
29;3884;396.0;98.84
30;3983;990.0;98.8
31;4082;891.0;98.76
32;4181;891.0;98.72
33;4280;891.0;98.68
34;4379;99.0;98.64
35;4478;693.0;98.6
36;4577;792.0;98.56
37;4676;990.0;98.52
38;4775;891.0;98.48
39;4873;980.0;98.44
40;4971;980.0;98.4
41;5069;980.0;98.36
42;5167;882.0;98.32
43;5265;784.0;98.28
44;5363;882.0;98.24
45;5461;882.0;98.2
46;5559;980.0;98.16
47;5657;882.0;98.12
48;5755;392.0;98.08
49;5853;980.0;98.04
50;5951;882.0;98.0
51;6049;882.0;97.96
52;6147;882.0;97.92
53;6245;882.0;97.88
54;6343;882.0;97.84
55;6441;882.0;97.8
56;6539;196.0;97.76
57;6637;980.0;97.72
58;6735;980.0;97.68
59;6833;882.0;97.64
60;6931;980.0;97.6
61;7029;392.0;97.56
62;7127;980.0;97.52
63;7225;882.0;97.48
64;7322;873.0;97.44
65;7419;970.0;97.4
66;7516;970.0;97.36
67;7613;873.0;97.32
68;7710;873.0;97.28
69;7807;582.0;97.24
70;7904;388.0;97.2
71;8001;970.0;97.16
72;8098;970.0;97.12
73;8195;970.0;97.08
74;8292;679.0;97.04
75;8389;970.0;97.0
76;8486;873.0;96.96
77;8583;970.0;96.92
78;8680;776.0;96.88
79;8777;873.0;96.84
80;8874;873.0;96.8
81;8971;970.0;96.76
82;9068;970.0;96.72
83;9165;873.0;96.68
84;9262;970.0;96.64
85;9359;970.0;96.6
86;9456;873.0;96.56
87;9553;873.0;96.52
88;9650;194.0;96.48
89;9746;960.0;96.44
90;9842;960.0;96.4
91;9938;960.0;96.36
92;10034;960.0;96.32
93;10130;864.0;96.28
94;10226;960.0;96.24
95;10322;768.0;96.2
96;10418;288.0;96.16
97;10514;864.0;96.12
98;10610;384.0;96.08
99;10706;864.0;96.04
100;10802;864.0;96.0
101;10898;960.0;95.96
102;10994;288.0;95.92
103;11090;864.0;95.88
104;11186;960.0;95.84
105;11282;768.0;95.8
106;11378;672.0;95.76
107;11474;960.0;95.72
108;11570;960.0;95.68
109;11666;192.0;95.64
110;11762;864.0;95.6
111;11858;192.0;95.56
112;11954;864.0;95.52
113;12050;768.0;95.48
114;12145;665.0;95.44
115;12240;950.0;95.4
116;12335;855.0;95.36
117;12430;855.0;95.32
118;12525;855.0;95.28
119;12620;665.0;95.24
120;12715;855.0;95.2
121;12810;950.0;95.16
122;12905;950.0;95.12
123;13000;950.0;95.08
124;13095;665.0;95.04
125;13190;855.0;95.0
126;13285;855.0;94.96
127;13380;950.0;94.92
128;13475;855.0;94.88
129;13570;950.0;94.84
130;13665;950.0;94.8
131;13760;855.0;94.76
132;13855;950.0;94.72
133;13950;190.0;94.68
134;14045;855.0;94.64
135;14140;950.0;94.6
136;14235;855.0;94.56
137;14330;950.0;94.52
138;14425;855.0;94.48
139;14519;940.0;94.44
140;14613;940.0;94.4
141;14707;658.0;94.36
142;14801;470.0;94.32
143;14895;846.0;94.28
144;14989;940.0;94.24
145;15083;940.0;94.2
146;15177;940.0;94.16
147;15271;846.0;94.12
